,Position,ø-Age,Market value,ø-Market value,Unnamed: 4,TeamName,Year,marketValue
3,Total:,2286,"43,25 Mill. €","1,01 Mill. €",,Fulham,2014,43250000
0,Goalkeeper,2550,"2,45 Mill. €",408 Th. €,,Fulham,2015,2450000
1,Defender,2400,"11,95 Mill. €",747 Th. €,,Fulham,2015,11950000
2,Forward,2300,"8,50 Mill. €","2,13 Mill. €",,Fulham,2015,8500000
3,Total:,2418,"38,10 Mill. €",953 Th. €,,Fulham,2015,38100000
0,Goalkeeper,2467,"2,15 Mill. €",717 Th. €,,Fulham,2016,2150000
1,Defender,2518,"16,40 Mill. €","1,49 Mill. €",,Fulham,2016,16400000
2,Forward,2425,"13,75 Mill. €","1,72 Mill. €",,Fulham,2016,13750000
3,Total:,2397,"57,50 Mill. €","1,55 Mill. €",,Fulham,2016,57500000
0,Goalkeeper,2325,"3,50 Mill. €",875 Th. €,,Fulham,2017,3500000
1,Defender,2420,"15,65 Mill. €","1,57 Mill. €",,Fulham,2017,15650000
2,Forward,2364,"28,50 Mill. €","2,59 Mill. €",,Fulham,2017,28500000
3,Total:,2331,"72,40 Mill. €","2,01 Mill. €",,Fulham,2017,72400000
0,Goalkeeper,2800,"6,00 Mill. €","3,00 Mill. €",,Fulham,2018,6000000
1,Defender,2740,"11,50 Mill. €","2,30 Mill. €",,Fulham,2018,11500000
2,Forward,2575,"14,00 Mill. €","3,50 Mill. €",,Fulham,2018,14000000
3,Total:,2570,"116,50 Mill. €","5,83 Mill. €",,Fulham,2018,116500000
0,Goalkeeper,2775,"6,95 Mill. €","1,74 Mill. €",,Man City,2005,6950000
1,Defender,2409,"30,28 Mill. €","2,75 Mill. €",,Man City,2005,30280000
2,Forward,2533,"30,80 Mill. €","3,42 Mill. €",,Man City,2005,30800000
3,Total:,2487,"76,40 Mill. €","2,46 Mill. €",,Man City,2005,76400000
0,Goalkeeper,2333,"7,60 Mill. €","2,53 Mill. €",,Man City,2006,7600000
1,Defender,2429,"43,25 Mill. €","3,09 Mill. €",,Man City,2006,43250000
2,Forward,2500,"25,35 Mill. €","2,82 Mill. €",,Man City,2006,25350000
3,Total:,2463,"96,40 Mill. €","3,01 Mill. €",,Man City,2006,96400000
0,Goalkeeper,2167,"6,05 Mill. €","2,02 Mill. €",,Man City,2007,6050000
1,Defender,2300,"27,20 Mill. €","2,47 Mill. €",,Man City,2007,27200000
2,Forward,2369,"53,65 Mill. €","4,13 Mill. €",,Man City,2007,53650000
3,Total:,2343,"109,50 Mill. €","3,13 Mill. €",,Man City,2007,109500000
0,Goalkeeper,2467,"12,75 Mill. €","4,25 Mill. €",,Man City,2008,12750000
1,Defender,2379,"70,80 Mill. €","5,06 Mill. €",,Man City,2008,70800000
2,Forward,2342,"121,50 Mill. €","10,13 Mill. €",,Man City,2008,121500000
3,Total:,2359,"246,80 Mill. €","6,67 Mill. €",,Man City,2008,246800000
0,Goalkeeper,2620,"18,55 Mill. €","3,71 Mill. €",,Man City,2009,18550000
1,Defender,2386,"94,50 Mill. €","6,75 Mill. €",,Man City,2009,94500000
2,Forward,2458,"136,10 Mill. €","11,34 Mill. €",,Man City,2009,136100000
3,Total:,2410,"314,90 Mill. €","7,87 Mill. €",,Man City,2009,314900000
0,Goalkeeper,2825,"19,00 Mill. €","4,75 Mill. €",,Man City,2010,19000000
1,Defender,2195,"104,78 Mill. €","5,51 Mill. €",,Man City,2010,104780000
2,Forward,2358,"147,60 Mill. €","12,30 Mill. €",,Man City,2010,147600000
3,Total:,2342,"382,53 Mill. €","8,50 Mill. €",,Man City,2010,382530000
0,Goalkeeper,2600,"18,70 Mill. €","6,23 Mill. €",,Man City,2011,18700000
1,Defender,2400,"123,00 Mill. €","9,46 Mill. €",,Man City,2011,123000000
2,Forward,2360,"190,10 Mill. €","19,01 Mill. €",,Man City,2011,190100000
3,Total:,2442,"461,80 Mill. €","12,83 Mill. €",,Man City,2011,461800000
0,Goalkeeper,2575,"27,25 Mill. €","6,81 Mill. €",,Man City,2012,27250000
